idmun,ano,esf
130340,2001,1
130340,2002,1
130340,2003,1
130340,2004,1
130340,2005,1
130340,2006,1
130340,2007,1
130340,2008,1
130340,2009,1
130340,2010,1
130340,2011,1
130340,2012,1
130340,2013,1
130340,2014,1
130340,2015,1
130350,1998,0
130350,1999,0
130350,2000,1
130350,2001,1
130350,2002,1
130350,2003,1
130350,2004,1
130350,2005,1
130350,2006,1
130350,2007,1
130350,2008,1
130350,2009,1
130350,2010,1
130350,2011,1
130350,2012,1
130350,2013,1
130350,2014,1
130350,2015,1
130353,1998,0
130353,1999,1
130353,2000,1
130353,2001,1
130353,2002,1
130353,2003,1
130353,2004,1
130353,2005,1
130353,2006,1
130353,2007,1
130353,2008,1
130353,2009,1
130353,2010,1
130353,2011,1
130353,2012,1
130353,2013,1
130353,2014,1
130353,2015,1
130356,1998,0
130356,1999,0
130356,2000,1
130356,2001,1
130356,2002,1
130356,2003,1
130356,2004,1
130356,2005,1
130356,2006,1
130356,2007,1
130356,2008,1
130356,2009,1
130356,2010,1
130356,2011,1
130356,2012,1
130356,2013,1
130356,2014,1
130356,2015,1
130360,1998,0
130360,1999,1
130360,2000,1
130360,2001,1
130360,2002,1
130360,2003,1
130360,2004,1
130360,2005,1
130360,2006,1
130360,2007,1
130360,2008,1
130360,2009,1
130360,2010,1
130360,2011,1
130360,2012,1
130360,2013,1
130360,2014,1
130360,2015,1
130370,1998,0
130370,1999,0
130370,2000,0
130370,2001,0
130370,2002,0
130370,2003,0
130370,2004,0
130370,2005,0
130370,2006,0
130370,2007,0
130370,2008,0
130370,2009,1
130370,2010,1
130370,2011,1
130370,2012,1
130370,2013,1
130370,2014,1
130370,2015,1
130380,1998,0
130380,1999,1
130380,2000,1
130380,2001,1
130380,2002,1
130380,2003,1
130380,2004,1
130380,2005,1
130380,2006,1
130380,2007,1
130380,2008,1
130380,2009,1
130380,2010,1
130380,2011,1
130380,2012,1
130380,2013,1
130380,2014,1
130380,2015,1
130390,1998,0
130390,1999,0
130390,2000,0
130390,2001,0
130390,2002,0
130390,2003,0
130390,2004,0
130390,2005,0
130390,2006,0
130390,2007,0
130390,2008,0
130390,2009,1
130390,2010,1
130390,2011,1
130390,2012,1
130390,2013,1
130390,2014,1
130390,2015,1
130395,1998,0
130395,1999,0
130395,2000,0
130395,2001,1
130395,2002,1
130395,2003,1
130395,2004,1
130395,2005,1
130395,2006,1
130395,2007,1
130395,2008,1
130395,2009,1
130395,2010,1
130395,2011,1
130395,2012,1
130395,2013,1
130395,2014,1
130395,2015,1
130400,1998,0
130400,1999,1
130400,2000,1
130400,2001,1
130400,2002,1
130400,2003,1
130400,2004,1
130400,2005,1
130400,2006,1
130400,2007,1
130400,2008,1
130400,2009,1
130400,2010,1
130400,2011,1
130400,2012,1
130400,2013,1
130400,2014,1
130400,2015,1
130406,1998,0
130406,1999,0
