espvida;fectot;mort5;razdep;e_anosestudo;gini;rdpc;emp;t_ativ;t_des;trabcc;trabpub;trabsc;t_agua;t_dens;t_lixo;t_luz;agua_esgoto;t_sluz;homemtot;mulhertot;pea;pia;pop;popt;investimento;idhm
75,01;1,73;15,89;40,01;9,56;0,44;884,18;3,76;72,23;3,1;59,26;3,33;12,46;85,42;9,5;94,58;100;0;0;5625;5368;6789;9399;10930;10930;0;0,755
74,8;1,99;16,22;43,26;10,48;0,38;870,77;4,1;79,09;0,57;25,76;1,87;9,01;76,73;9,58;100;100;0,39;0;1660;1549;2263;2861;3209;3209;0;0,742
72,67;2,3;20,01;48,4;12,26;0,5;767,85;0;81,37;0,82;8,29;8,51;5,15;97,11;10,61;96,55;99,1;2,33;0,9;979;925;1358;1669;1886;1886;1;0,710
78,06;1,27;11,33;38,3;10,54;0,5;1072,6;5,7;71,66;4,18;52,16;4,76;12,94;91,87;7,7;99,17;99,85;0,21;0,15;17650;18656;22900;31956;36117;36094;0;0,801
75,77;1,46;14,66;44,73;11,02;0,41;887,7;0,15;55,63;14,21;40,63;12,84;15,26;83,54;5,47;97,83;100;0,27;0;2988;1716;2427;4363;3389;3383;0;0,734
75,97;1,61;14,35;39,41;11,66;0,33;719,94;2,8;77,06;1,01;46,45;3,95;6,63;87,78;5,03;98,82;100;2,53;0;4618;4398;6127;7951;8988;8988;0;0,755
76,27;1,83;13,88;39,62;10,27;0,34;852,5;2,89;72,11;2,39;72,78;0,95;4,94;92,45;9,87;99,02;99,92;3,67;0,08;7801;7515;9430;13078;15252;15252;0;0,769
77,32;1,57;12,35;38,84;10,87;0,51;1188,18;3,06;75,25;1,73;51,36;3,35;11,49;88,3;8,29;99,56;99,85;1,14;0,15;8525;8411;11204;14889;16884;16880;0;0,779
77,72;1,62;11,8;42,45;11,69;0,41;893,35;2,95;77,96;1,08;32,22;4,07;14,17;95,42;9,47;97,03;99,75;1,39;0,25;1634;1651;2267;2908;3251;3251;0;0,773
77,81;1,64;11,67;39,99;11,21;0,4;855,02;2,37;63,86;4,58;55,04;2,4;13,08;85,61;11,07;99,56;99,83;0,91;0,17;6480;6518;7266;11378;12975;12965;0;0,774
76,49;1,63;13,57;43,79;9,83;0,4;746,69;2,84;68,24;3,13;49,96;2,46;16;96,43;9,59;99,77;100;1,89;0;13072;13541;15531;22759;26590;26590;1;0,728
74,89;2,15;16,08;47,21;11,96;0,45;674,87;1,94;76,54;0,57;18,65;5,79;8,93;94,36;11,25;94,79;100;1,22;0;1437;1329;1829;2389;2763;2757;1;0,707
77,71;2,14;11,81;44,1;11,12;0,43;848,34;3,4;72,71;1,99;48;4,77;10,13;88,96;6,54;99,62;99,8;0,07;0,2;8690;8570;10820;14882;17065;17024;0;0,761
